,date,approx_time,activity,details,name,location
0,2022-12-12,11:42:08,links: https://twitter.com/mariataylor6581/status/1602267553866584064/photo/1,1602267553866584064,mariataylor6581,Canterbury
1,2015-12-22,08:38:18,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner https://t.co/5PcIql4Xfy,1602267553866584064,mariataylor6581,Canterbury
2,2022-12-12,11:41:56,mentions: SamRamani2,1602267504260382720,AbuuZah,Global Citizen
3,2022-12-12,11:41:56,annotations: FBI,1602267504260382720,AbuuZah,Global Citizen
4,2022-12-12,11:41:56,annotations: Wagner Group,1602267504260382720,AbuuZah,Global Citizen
5,2022-12-12,11:41:56,annotations: Ukraine,1602267504260382720,AbuuZah,Global Citizen
6,2022-12-12,11:41:56,annotations: Wagner Group,1602267504260382720,AbuuZah,Global Citizen
7,2022-12-12,11:41:56,annotations: Kamakaze,1602267504260382720,AbuuZah,Global Citizen
8,2011-10-04,19:27:51,"tweeted: @SamRamani2 Last week, the FBI declared Wagner Group most wanted, today Ukraine strike the Wagner Group, surely they were given instructions and coordinates to strike, they must be prepared for Kamakaze",1602267504260382720,AbuuZah,Global Citizen
9,2022-12-12,11:41:22,links: https://tubelive.page.link/E5xP25WwLrJ45YCJ9,1602267361369010178,SamRamani2,"Oxford, England"
10,2013-10-12,23:22:53,"tweeted: Clarissa Ward breaks down Wagner Group head’s warning to US
##UK ##SlavaUkraini ##QatarWorldCup2022 ##UkraineRussianWar # ##USA
https://t.co/7ZeFtnvDF5",1602267361369010178,SamRamani2,"Oxford, England"
11,2022-12-12,11:40:05,annotations: Kadiivka,1602267040458457090,cnnnewsukraine,UNKWN
12,2022-12-12,11:40:05,annotations: Luhansk region,1602267040458457090,cnnnewsukraine,UNKWN
13,2022-12-12,11:40:05,annotations: Russia,1602267040458457090,cnnnewsukraine,UNKWN
14,2022-12-12,11:40:05,annotations: Wagner,1602267040458457090,cnnnewsukraine,UNKWN
15,2022-12-12,11:40:05,links: https://www.msn.com/en-gb/news/world/live-ukraine-claims-strike-on-wagner-group-hq-says-huge-number-of-russian-mercenaries-killed/ar-AA15apGM?ocid=msedgntp&cvid=b331302f783248eaada10ece5fe04a0e,1602267040458457090,cnnnewsukraine,UNKWN
16,2014-10-19,22:38:50,"tweeted: Ukrainian official claimed Sunday: forces attacked a hotel in the city of Kadiivka in the occupied Luhansk region, where Russia’s private Wagner military are based, allegedly killing ‘a huge number’ of them. [report not confirmed independently].  https://t.co/A8jcIpuCjU",1602267040458457090,cnnnewsukraine,UNKWN
17,2022-12-12,11:38:08,annotations: Ukraine,1602266550165086208,robdn,"London, England"
18,2022-12-12,11:38:08,annotations: Putin,1602266550165086208,robdn,"London, England"
19,2022-12-12,11:38:08,annotations: Wagner HQ,1602266550165086208,robdn,"London, England"
20,2022-12-12,11:38:08,annotations: Wagner Group,1602266550165086208,robdn,"London, England"
21,2022-12-12,11:38:08,annotations: Ukraine,1602266550165086208,robdn,"London, England"
22,2022-12-12,11:38:08,links: https://www.msn.com/en-us/news/world/ukraine-news-live-many-killed-in-strike-on-putin-s-private-wagner-hq-in-eastern-battle/ar-AA15a7HU?cvid=06a3f7fc923a4d32ae5a2f91eb5360bd,1602266550165086208,robdn,"London, England"
23,2009-07-11,13:39:50,"tweeted: Ukraine news - live: ‘Many killed’ in strike on Putin’s private Wagner HQ in eastern battle https://t.co/TaSZrtSyyy Love it, wish the leaders of Wagner Group were there when it was hit. Go Ukraine!",1602266550165086208,robdn,"London, England"
24,2022-12-12,11:35:22,annotations: Ukraine,1602265852350431232,DeborahLago5,UNKWN
25,2022-12-12,11:35:22,annotations: Lemekhani Nyirenda,1602265852350431232,DeborahLago5,UNKWN
26,2022-12-12,11:35:22,annotations: Russia,1602265852350431232,DeborahLago5,UNKWN
27,2022-12-12,11:35:22,annotations: Wagner,1602265852350431232,DeborahLago5,UNKWN
28,2022-12-12,11:35:22,links: https://www.bbc.co.uk/news/world-africa-63935260,1602265852350431232,DeborahLago5,UNKWN
29,2019-05-06,15:15:47,"tweeted: #Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner
https://t.co/6OKafNyL8G",1602265852350431232,DeborahLago5,UNKWN
30,2022-12-12,11:31:24,annotations: Ukraine,1602264855456747520,2dialogue,"Sarasota, FL"
31,2022-12-12,11:31:24,annotations: Wagner,1602264855456747520,2dialogue,"Sarasota, FL"
32,2022-12-12,11:31:24,annotations: Blackwater,1602264855456747520,2dialogue,"Sarasota, FL"
33,2022-12-12,11:31:24,annotations: USA,1602264855456747520,2dialogue,"Sarasota, FL"
34,2022-12-12,11:31:24,links: https://www.aljazeera.com/news/2022/12/12/ukraine-says-it-has-killed-wagner-mercenaries-who-are-they,1602264855456747520,2dialogue,"Sarasota, FL"
35,2011-10-05,23:32:32,"tweeted: Ukraine says it killed Wagner mercenaries, who are they?  Controversial armed group emerged from being a murky guns-for-hire enterprise to a public extension of the Russian military (like Blackwater in USA).

https://t.co/VLgTWD3Y8v",1602264855456747520,2dialogue,"Sarasota, FL"
36,2022-12-12,11:29:02,annotations: Wagner Group,1602264257441239041,natty4bumpo,"Chattanooga, TN, USA"
37,2022-12-12,11:29:02,annotations: Bakhmut,1602264257441239041,natty4bumpo,"Chattanooga, TN, USA"
38,2022-12-12,11:29:02,annotations: ukraine,1602264257441239041,natty4bumpo,"Chattanooga, TN, USA"
39,2022-12-12,11:29:02,annotations: SlavaUkraini,1602264257441239041,natty4bumpo,"Chattanooga, TN, USA"
40,2022-12-12,11:29:02,annotations: USA,1602264257441239041,natty4bumpo,"Chattanooga, TN, USA"
41,2022-12-12,11:29:02,annotations: UkraineRussianWar,1602264257441239041,natty4bumpo,"Chattanooga, TN, USA"
42,2022-12-12,11:29:02,annotations: QatarWorldCup2022,1602264257441239041,natty4bumpo,"Chattanooga, TN, USA"
43,2022-12-12,11:29:02,links: https://tubelive.page.link/dCPCLJK12D8T4Rqn8,1602264257441239041,natty4bumpo,"Chattanooga, TN, USA"
44,2009-04-10,05:21:26,"tweeted: Ukrainian Special Forces hunt down and destroy Wagner Group mercenaries in Bakhmut
##ukraine ##SlavaUkraini # ##USA ##UkraineRussianWar ##QatarWorldCup2022
https://t.co/HOHuCVCw5W",1602264257441239041,natty4bumpo,"Chattanooga, TN, USA"
45,2022-12-12,11:28:36,annotations: Ukraine,1602264148028817408,tellmetimes,UNKWN
46,2022-12-12,11:28:36,annotations: Lemekhani Nyirenda,1602264148028817408,tellmetimes,UNKWN
47,2022-12-12,11:28:36,annotations: Russia,1602264148028817408,tellmetimes,UNKWN
48,2022-12-12,11:28:36,annotations: Wagner,1602264148028817408,tellmetimes,UNKWN
49,2022-12-12,11:28:36,links: http://dlvr.it/SfDQPC,1602264148028817408,tellmetimes,UNKWN
50,2022-01-08,12:03:57,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner https://t.co/IIDvKHCGtL,1602264148028817408,tellmetimes,UNKWN
51,2022-12-12,11:28:16,annotations: بن هودجز,1602264067435003905,45mogaber45,UNKWN
52,2022-12-12,11:28:16,annotations: أوكرانيا,1602264067435003905,45mogaber45,UNKWN
53,2022-12-12,11:28:16,links: https://arabic.cnn.com/world/video/2022/12/12/v130728-wagner-group-explosion-luhansk-melitopol-ukraine-russia-hodges,1602264067435003905,45mogaber45,UNKWN
54,2022-08-13,21:25:00,"tweeted: بن هودجز يوضح لـCNN ما يعنيه تفجير مقر مجموعة ""فاغنر"" الروسية في أوكرانيا - CNN Arabic https://t.co/ms6TxTYlcN",1602264067435003905,45mogaber45,UNKWN
0,2022-12-12,11:26:55,annotations: Ukraine,1602263726614355968,knight_riders43,"Dubai, United Arab Emirates"
1,2022-12-12,11:26:55,annotations: Wagner,1602263726614355968,knight_riders43,"Dubai, United Arab Emirates"
2,2022-12-12,11:26:55,annotations: Bangladesh,1602263726614355968,knight_riders43,"Dubai, United Arab Emirates"
3,2022-12-12,11:26:55,annotations: Afghan,1602263726614355968,knight_riders43,"Dubai, United Arab Emirates"
4,2022-12-12,11:26:55,annotations: Pakistan,1602263726614355968,knight_riders43,"Dubai, United Arab Emirates"
5,2022-12-12,11:26:55,annotations: ck,1602263726614355968,knight_riders43,"Dubai, United Arab Emirates"
6,2022-12-12,11:26:55,annotations: ber in U,1602263726614355968,knight_riders43,"Dubai, United Arab Emirates"
7,2022-11-26,13:52:00,"tweeted: 🇺🇦 Ukraine strike hits Wagner group headquarters- official

🇧🇩 Bangladesh's opposition lawmakers quit parliament demand fresh vote

🇵🇰 🇦🇫 Several killed in firing by Afghan forces on Pakistan border

🏴󠁧󠁢󠁳󠁣󠁴󠁿 Suspected Lockerbie bomber in US custody:Scotland

#World #UkraineRussiaWar️",1602263726614355968,knight_riders43,"Dubai, United Arab Emirates"
8,2022-12-12,11:25:33,links: https://www.firstpost.com/explainers/wagner-group-russian-mercenary-group-ukraine-war-11794811.html?utm_source=twitter&utm_medium=social,1602263383847604224,firstpost,"Mumbai, India"
9,2022-12-12,11:25:33,annotations: Russia,1602263383847604224,firstpost,"Mumbai, India"
10,2022-12-12,11:25:33,annotations: WagnerPMC,1602263383847604224,firstpost,"Mumbai, India"
11,2022-12-12,11:25:33,annotations: Ukraine,1602263383847604224,firstpost,"Mumbai, India"
12,2022-12-12,11:25:33,annotations: Vladimir Putin,1602263383847604224,firstpost,"Mumbai, India"
13,2022-12-12,11:25:33,annotations: Wagner,1602263383847604224,firstpost,"Mumbai, India"
14,2022-12-12,11:25:33,annotations: PMC,1602263383847604224,firstpost,"Mumbai, India"
15,2022-12-12,11:25:33,annotations: RussiaUkraineWar,1602263383847604224,firstpost,"Mumbai, India"
16,2011-02-23,13:09:22,"tweeted: Members of Russia’s #WagnerPMC were killed following an attack by Ukraine’s armed forces on a hotel. The mercenaries, also known as Vladimir Putin’s private army, have been working in the shadows since 2014 #Wagner_PMC #RussiaUkraineWar 
https://t.co/CbjH36B2b9",1602263383847604224,firstpost,"Mumbai, India"
17,2022-12-12,11:25:33,links: https://www.reuters.com/world/europe/ukraine-regional-official-says-strike-hits-wagner-group-headquarters-2022-12-11/,1602263380722679809,alleyesonwagner,Internet
18,2022-12-12,11:25:33,annotations: Ukraine,1602263380722679809,alleyesonwagner,Internet
19,2022-12-12,11:25:33,annotations: Wagner,1602263380722679809,alleyesonwagner,Internet
20,2022-12-12,11:25:33,annotations: Reuters,1602263380722679809,alleyesonwagner,Internet
21,2022-03-11,09:59:19,tweeted: Ukraine regional official says strike hits Wagner group headquarters | Reuters https://t.co/IoFk2qLLrr,1602263380722679809,alleyesonwagner,Internet
22,2022-12-12,11:25:09,links: https://globaltrends.digital/post/ukraine-war-lemekhani-nyirenda-was-recruited-by-russia-s-mercenary-group-wagner,1602263279321382912,global_trends22,UNKWN
23,2022-12-12,11:25:09,annotations: Ukraine,1602263279321382912,global_trends22,UNKWN
24,2022-12-12,11:25:09,annotations: Lemekhani Nyirenda,1602263279321382912,global_trends22,UNKWN
25,2022-12-12,11:25:09,annotations: Russia,1602263279321382912,global_trends22,UNKWN
26,2022-12-12,11:25:09,annotations: Wagner,1602263279321382912,global_trends22,UNKWN
27,2020-06-23,11:16:27,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner https://t.co/Ya91UGeb1D,1602263279321382912,global_trends22,UNKWN
28,2022-12-12,11:21:44,annotations: Russia,1602262421988642819,ocholagragory,UNKWN
29,2022-12-12,11:21:44,annotations: Ukraine,1602262421988642819,ocholagragory,UNKWN
30,2022-12-12,11:21:44,annotations: Wagner,1602262421988642819,ocholagragory,UNKWN
31,2022-12-12,11:21:44,annotations: Russia,1602262421988642819,ocholagragory,UNKWN
32,2022-03-13,11:31:00,tweeted: I would like to fight for Russia in Ukraine. I ask the Wagner group to give me the opportunity to fight for Russia.,1602262421988642819,ocholagragory,UNKWN
33,2022-12-12,11:20:37,links: https://twitter.com/HerryNapit/status/1602262139745734656/photo/1,1602262139745734656,HerryNapit,Indonesia
34,2022-12-12,11:20:37,annotations: Wagner Group,1602262139745734656,HerryNapit,Indonesia
35,2022-12-12,11:20:37,annotations: Putin,1602262139745734656,HerryNapit,Indonesia
36,2022-12-12,11:20:37,annotations: Bakhmut,1602262139745734656,HerryNapit,Indonesia
37,2022-12-12,11:20:37,annotations: Donetsk,1602262139745734656,HerryNapit,Indonesia
38,2022-12-12,11:20:37,annotations: Ukraine,1602262139745734656,HerryNapit,Indonesia
39,2022-12-12,11:20:37,annotations: Prigozhin,1602262139745734656,HerryNapit,Indonesia
40,2022-12-12,11:20:37,annotations: Kremlin,1602262139745734656,HerryNapit,Indonesia
41,2022-12-12,11:20:37,annotations: Russia,1602262139745734656,HerryNapit,Indonesia
42,2022-12-12,11:20:37,annotations: Wagner,1602262139745734656,HerryNapit,Indonesia
43,2022-12-12,11:20:37,annotations: UkraineWar,1602262139745734656,HerryNapit,Indonesia
44,2020-01-13,02:40:35,"tweeted: Wagner Group is doing Putin’s dirty work in Bakhmut, Donetsk region, Ukraine. Its leader Prigozhin is trying to make a political gain, showing the Kremlin, Russia, that Wagner is the only Russian force that could counter the Ukrainians #Ukraine🇺🇦#UkraineWar #UkraineRussiaWar️ https://t.co/2zw4t3jg97",1602262139745734656,HerryNapit,Indonesia
45,2022-12-12,11:20:22,links: https://twitter.com/peripolemou/status/1602262079326535680/photo/1,1602262079326535680,peripolemou,UNKWN
